Variables;Productor;Variedad;Tiempo;Total_racimo ;Color;Repeticion ;Racimo;VERDE;AMARILLO ;PARDO ;TOTAL ;Verde;Amarillo;Pardo 
AL_A_R1_R_0002.JPG;Bronces;AL;T40;1;A;R1;1;78507;263830;286372;628709;12.49;41.96;45.55
AL_A_R1_R_0003.JPG;Bronces;AL;T40;2;A;R1;2;216018;138205;115383;469606;46.00;29.43;24.57
AL_A_R2_R_0002.JPG;Bronces;AL;T40;3;A;R2;1;190406;253761;209149;653316;29.14;38.84;32.01
AL_A_R2_R_0003.JPG;Bronces;AL;T40;4;A;R2;2;60552;302525;235783;598860;10.11;50.52;39.37
AL_A_R3_R_0002.JPG;Bronces;AL;T40;5;A;R3;1;159918;141369;194633;495920;32.25;28.51;39.25
AL_A_R3_R_0003.JPG;Bronces;AL;T40;6;A;R3;2;21462;230157;281523;533142;4.03;43.17;52.80
AL_A_R4_R_0002.JPG;Bronces;AL;T40;7;A;R4;1;148516;231633;199986;580135;25.60;39.93;34.47
AL_A_R4_R_0003.JPG;Bronces;AL;T40;1;A;R4;2;25934;419682;337202;782818;3.31;53.61;43.08
AL_V_R1_R_0002.JPG;Bronces;AL;T40;2;V;R1;1;266947;199320;230463;696730;38.31;28.61;33.08
AL_V_R1_R_0003.JPG;Bronces;AL;T40;3;V;R1;2;149477;198290;191950;539717;27.70;36.74;35.56
AL_V_R2_R_0002.JPG;Bronces;AL;T40;4;V;R2;1;252753;112118;226155;591026;42.77;18.97;38.26
AL_V_R2_R_0003.JPG;Bronces;AL;T40;5;V;R2;2;205157;267925;221974;695056;29.52;38.55;31.94
AL_V_R3_R_0002.JPG;Bronces;AL;T40;6;V;R3;1;191164;173210;164448;528822;36.15;32.75;31.10
AL_V_R3_R_0003.JPG;Bronces;AL;T40;7;V;R3;2;116197;225654;161238;503089;23.10;44.85;32.05
AL_V_R4_R_0002.JPG;Bronces;AL;T40;8;V;R4;1;396519;96340;176274;669133;59.26;14.40;26.34
AL_V_R4_R_0003.JPG;Bronces;AL;T40;1;V;R4;2;235510;146919;132094;514523;45.77;28.55;25.67
AL_A_R1_R_0002.JPG;Bronces;AL;T43;2;A;R1;1;55688;132529;163895;352112;15.82;37.64;46.55
AL_A_R1_R_0003.JPG;Bronces;AL;T43;3;A;R1;2;3274;115129;324786;443189;0.74;25.98;73.28
