Variedad;Productor;Fecha_cosecha;Sigla;Evaluacion;Color;Tratamiento;Repetici—n;N_Bayas;Peso;Calibre_Ecuatorial;Calibre_polar;Color pag y dato;L*;a*;b*;c;h;TSS;PH;Gasto;Acidez_titulable;Firmeza
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;1;7.34;22.40;22.60;624;29.69;5.20;0.04;5.200153844;0.440728073;18.50;3.39;4.95;0.74;256.213
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;2;7.73;22.09;23.84;;30.48;5.76;0.13;5.761466827;1.292914414;;;;;253.953
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;3;7.99;22.43;23.44;;31.24;3.91;1.45;4.170203832;20.34699615;;;;;237.338
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;4;6.03;20.59;21.02;;31.64;7.08;0.67;7.111631318;5.40595915;;;;;236.572
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;5;10.35;24.23;27.87;;31.83;5.53;0.78;5.584738132;8.028539924;;;;;232.998
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;6;8.30;23.34;24.55;;31.64;6.01;0.26;6.015621331;2.477141388;;;;;228.846
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;7;6.34;21.07;20.37;;30.52;5.90;0.72;5.943769847;6.957625149;;;;;229.496
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;8;6.72;21.94;21.37;;30.88;6.81;0.48;6.826895341;4.031801098;;;;;241.931
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;9;9.80;24.14;25.77;;33.27;7.12;0.05;7.12017556;0.402351388;;;;;220.906
SC;Palo Alto;21-Feb;T0 V R1;E00;V;0h;R1;10;8.29;23.29;24.31;;29.67;3.57;-1.15;3.750653276;342.1447526;;;;;222.058
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;1;7.39;21.52;25.02;636.00;40.92;8.78;5.52;10.37105588;32.15764064;17.60;3.30;4.70;0.71;226.829
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;2;8.84;22.92;25.96;;30.17;5.81;0.61;5.841934611;5.993605247;;;;;232.848
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;3;7.34;21.90;24.74;;34.27;4.93;0.83;4.999379962;9.556527614;;;;;225.795
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;4;8.68;23.57;24.51;;35.47;11.54;2.59;11.82707487;12.64966253;;;;;227.313
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;5;8.89;23.74;24.91;;34.99;12.06;3.61;12.5887132;16.66436893;;;;;242.889
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;6;7.52;22.05;24.40;;34.31;10.97;4.79;11.97017126;23.5882662;;;;;235.422
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;7;7.33;22.05;23.50;;35.44;10.28;2.91;10.68393654;15.80543477;;;;;226.769
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;8;7.59;22.86;23.47;;33.51;9.90;3.64;10.54796663;20.18730251;;;;;228.586
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;9;7.97;22.42;24.46;;33.70;8.55;0.08;8.550374261;0.536085217;;;;;246.102
SC;Palo Alto;21-Feb;T0 V R2;E00;V;0h;R2;10;7.34;21.53;24.40;;31.42;5.68;0.42;5.695507001;4.22896344;;;;;238.33
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;1;11.13;25.89;25.61;646.00;30.22;4.15;-1.15;4.3063906;344.5114986;18.50;3.35;6.00;0.90;264.77
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;2;10.24;23.95;25.49;;29.99;5.45;0.23;5.454851052;2.416553083;;;;;259.106
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;3;10.32;24.57;26.43;;29.39;3.91;-0.44;3.934679148;353.5794045;;;;;259.118
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;4;8.87;23.57;24.62;;37.89;13.79;3.62;14.25722624;14.70878978;;;;;240.617
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;5;10.42;24.27;26.41;;30.69;8.15;1.00;8.211120508;6.995192297;;;;;268.919
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;6;10.28;24.62;27.51;;29.46;6.29;0.70;6.328830856;6.350189264;;;;;252.97
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;7;10.89;25.36;25.82;;29.31;6.56;1.03;6.640368966;8.923283984;;;;;252.701
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;8;10.44;24.94;24.91;;30.76;8.45;2.36;8.773374493;15.60451381;;;;;267.394
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;9;10.43;25.02;25.47;;30.00;5.36;0.42;5.376430042;4.48043965;;;;;259.444
SC;Palo Alto;21-Feb;T0 V R3;E00;V;0h;R3;10;11.30;25.55;26.85;;31.27;9.17;2.78;9.582134418;16.86533509;;;;;249.707
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;1;9.85;24.06;26.21;656.00;31.66;9.07;2.05;9.298784867;12.73598856;17.50;3.45;6.05;0.91;249.761
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;2;10.06;25.14;25.99;;31.45;10.44;3.95;11.16226232;20.72426135;;;;;238.702
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;3;8.57;22.64;25.20;;29.40;4.49;0.40;4.50778216;5.090861634;;;;;237.129
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;4;7.78;22.51;23.73;;29.20;3.29;-0.49;3.326289224;351.5288554;;;;;239.157
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;5;9.91;24.34;26.19;;30.24;3.32;-1.27;3.554616716;339.066642;;;;;240.468
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;6;8.22;22.78;25.00;;29.88;4.40;0.34;4.413116812;4.418620467;;;;;241.086
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;7;10.09;24.21;25.74;;33.80;10.46;3.42;11.004908;18.10566636;;;;;256.423
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;8;8.05;22.98;23.82;;29.80;3.08;-0.56;3.130495168;349.6951535;;;;;246.898
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;9;9.41;23.72;25.60;;30.66;7.62;2.05;7.89093784;15.05770155;;;;;259.782
SC;Palo Alto;21-Feb;T0 V R4;E00;V;0h;R4;10;8.60;23.45;24.78;;30.35;8.78;2.40;9.102109646;15.28824403;;;;;253.348
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;1;8.50;21.52;24.55;666.00;34.81;11.39;4.11;12.108848;19.84161579;17.30;3.43;5.05;0.76;233.19
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;2;8.85;23.28;25.08;;31.46;8.74;1.63;8.890697385;10.56423203;;;;;221.575
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;3;6.63;20.77;22.89;;32.10;8.10;1.46;8.230528537;10.21767626;;;;;232.333
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;4;6.40;21.85;21.86;;29.99;6.37;1.44;6.530735028;12.73815857;;;;;227.246
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;5;8.11;22.32;24.98;;29.14;2.83;-0.14;2.833460781;357.1678886;;;;;231.946
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;6;8.28;23.51;24.66;;30.20;6.10;0.67;6.136684773;6.268017867;;;;;237.074
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;7;7.81;21.84;24.63;;37.17;12.56;5.80;13.83450758;24.7867108;;;;;235.586
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;8;8.08;22.60;25.66;;34.04;11.82;5.04;12.84966926;23.09320293;;;;;233.119
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;9;7.67;22.51;24.15;;29.54;3.79;0.58;3.834123107;8.700716482;;;;;221.138
SC;Palo Alto;21-Feb;T0 V R5;E00;V;0h;R5;10;7.43;22.37;23.63;;32.86;10.83;3.91;11.51420861;19.85131413;;;;;220.058
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;1;7.40;22.35;23.17;676.00;33.53;9.41;3.31;9.975179196;19.3794988;18.70;3.47;5.45;0.82;247.827
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;2;8.13;22.62;24.71;;34.25;11.78;2.98;12.15108226;14.19635102;;;;;239.065
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;3;8.56;23.12;24.55;;30.04;6.32;1.08;6.411614461;9.697380498;;;;;243.134
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;4;8.79;23.94;23.80;;29.00;3.01;-0.22;3.018029158;355.8197019;;;;;235.639
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;5;9.34;23.81;26.08;;30.73;6.94;1.22;7.046417529;9.970297611;;;;;230.331
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;6;8.04;22.78;24.17;;34.45;9.78;4.23;10.65557601;23.38922272;;;;;236.178
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;7;7.62;21.79;24.15;;30.27;8.45;1.69;8.617342978;11.30993247;;;;;230.446
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;8;8.76;22.35;26.37;;31.02;8.95;2.41;9.268797117;15.07078394;;;;;246.35
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;9;8.29;22.58;24.88;;31.50;6.78;0.36;6.789550795;3.039399569;;;;;236.61
SC;Palo Alto;21-Feb;T0 V R6;E00;V;0h;R6;10;7.19;22.23;22.86;;32.38;10.39;2.72;10.74013501;14.67024948;;;;;237.638
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;1;9.71;23.02;25.91;687.00;31.12;6.96;1.24;7.069596877;10.10187644;16.70;3.50;5.65;0.85;256.781
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;2;8.76;23.48;25.80;;31.68;7.82;0.91;7.872769525;6.63755811;;;;;261.112
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;3;10.69;24.83;26.26;;30.65;8.29;2.34;8.613924773;15.76266401;;;;;256.232
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;4;8.22;22.74;25.67;;34.18;11.46;3.87;12.09580506;18.659637;;;;;250.369
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;5;9.89;24.38;25.98;;31.62;4.99;-0.65;5.032156595;352.5784097;;;;;224.593
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;6;8.91;24.32;24.15;;32.00;8.83;2.82;9.269374305;17.71170377;;;;;254.661
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;7;7.23;21.56;23.56;;29.59;3.97;0.50;4.001362268;7.178298212;;;;;243.896
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;8;10.60;24.86;25.17;;30.61;7.66;2.16;7.95871849;15.74762044;;;;;254.263
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;9;8.35;23.06;24.89;;30.26;5.10;0.77;5.157799919;8.58569396;;;;;230.777
SC;Palo Alto;21-Feb;T0 V R7;E00;V;0h;R7;10;9.45;24.10;25.48;;31.82;6.78;1.95;7.054849396;16.04579728;;;;;239.751
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;1;6.82;20.96;23.85;697.00;38.60;6.64;6.58;9.348047925;44.73996043;18.00;3.59;5.45;0.82;238.896
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;2;6.89;21.71;22.77;;35.50;13.57;5.87;14.78518853;23.39195031;;;;;213.529
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;3;7.86;22.57;23.86;;37.70;11.58;5.72;12.91568039;26.28730373;;;;;215.391
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;4;8.84;23.12;25.23;;36.15;12.10;4.09;12.7725526;18.67610319;;;;;225.896
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;5;8.63;22.62;26.05;;33.92;11.85;3.70;12.41420557;17.34025823;;;;;235.966
SC;Palo Alto;21-Feb;T0 V R8;E00;V;0h;R8;6;6.16;21.07;22.18;;3.90;6.95;0.89;7.006753885;7.297440727;;;;;242.013
