VARIABLES;Productor;Variedad;Tiempo;Total_racimo;Color;Tratamientos;Repeticion ;N_Racimo ;VERDE;AMARILLO ;PARDO ;TOTAL ;Verde;Amarillo ;Pardo ;Nota_6;Hue
SC_A_18H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;A;18;R1;1;526579;111796;7260;645635;81.56;17.32;1.12;;36.06
SC_A_18H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;A;18;R1;2;362873;62400;3714;428987;84.59;14.55;0.87;;36.25
SC_A_18H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;A;18;R2;1;547133;153169;18984;719286;76.07;21.29;2.64;;35.12
SC_A_18H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;A;18;R2;2;339985;85562;6049;431596;78.77;19.82;1.4;;35.44
SC_A_18H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;A;18;R3;1;331911;41092;4326;377329;87.96;10.89;1.15;;37.42
SC_A_18H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;A;18;R3;2;283802;27920;2170;313892;90.41;8.89;0.69;;38.12
SC_A_18H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;A;18;R4;1;299626;79524;8212;387362;77.35;20.53;2.12;;35.52
SC_A_18H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;A;18;R4;2;361628;61748;3925;427301;84.63;14.45;0.92;;36.25
SC_A_3H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;A;3H;R1;1;610383;96801;3413;710597;85.9;13.62;0.48;;36.61
SC_A_3H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;A;3H;R1;2;779842;97052;6840;883734;88.24;10.98;0.77;;37.18
SC_A_3H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;A;3H;R2;1;641334;84101;3706;729141;87.96;11.53;0.51;;36.34
SC_A_3H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;A;3H;R2;2;556880;101113;7582;665575;83.67;15.19;1.14;;35.71
SC_A_3H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;A;3H;R3;1;708468;88560;5364;802392;88.29;11.04;0.67;;37.29
SC_A_3H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;A;3H;R3;2;546816;61637;3927;612380;89.29;10.07;0.64;;37.19
SC_A_3H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;A;3H;R4;1;559991;103721;5078;668790;83.73;15.51;0.76;;36.51
SC_A_3H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;A;3H;R4;2;473697;37263;2071;513031;92.33;7.26;0.4;;38.13
SC_V_18H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;V;18;R1;1;482842;81715;8677;573234;84.23;14.26;1.51;;36.74
SC_V_18H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;V;18;R1;2;609439;79079;9643;698161;87.29;11.33;1.38;;37.09
SC_V_18H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;V;18;R2;1;295101;85153;5202;385456;76.56;22.09;1.35;;35.31
SC_V_18H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;V;18;R2;2;517691;123927;9587;651205;79.5;19.03;1.47;;35.65
SC_V_18H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;V;18;R3;1;760821;159256;9578;929655;81.84;17.13;1.03;;36.19
SC_V_18H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;V;18;R3;2;611264;68330;3694;683288;89.46;10;0.54;;37.35
SC_V_18H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;V;18;R4;1;511510;98789;6214;616513;82.97;16.02;1.01;;36.53
SC_V_18H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;V;18;R4;2;570447;60127;5682;636256;89.66;9.45;0.89;;37.64
SC_V_3H_T10-3_E0_R__0001.JPG;Palo alto;SC;T0;1;V;3H;R1;1;476004;37449;3443;516896;92.09;7.24;0.67;;37.88
SC_V_3H_T10-3_E0_R__0002.JPG;Palo alto;SC;T0;2;V;3H;R1;2;536410;92006;6512;634928;84.48;14.49;1.03;;36.5
SC_V_3H_T10-3_E0_R__0003.JPG;Palo alto;SC;T0;3;V;3H;R2;1;707603;64070;3170;774843;91.32;8.27;0.41;;38.01
SC_V_3H_T10-3_E0_R__0004.JPG;Palo alto;SC;T0;4;V;3H;R2;2;382208;49050;3576;434834;87.9;11.28;0.82;;37.41
SC_V_3H_T10-3_E0_R__0005.JPG;Palo alto;SC;T0;5;V;3H;R3;1;741798;82527;5205;829530;89.42;9.95;0.63;;37.23
SC_V_3H_T10-3_E0_R__0006.JPG;Palo alto;SC;T0;6;V;3H;R3;2;604633;97196;12862;714691;84.6;13.6;1.8;;36.47
SC_V_3H_T10-3_E0_R__0007.JPG;Palo alto;SC;T0;7;V;3H;R4;1;534536;61827;3770;600133;89.07;10.3;0.63;;37.56
SC_V_3H_T10-3_E0_R__0008.JPG;Palo alto;SC;T0;8;V;3H;R4;2;561020;61455;3336;625811;89.65;9.82;0.53;;37.41
SC_A_18H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;A;18;R1;1;444536;118419;39822;602777;73.75;19.65;6.61;;
SC_A_18H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;A;18;R1;2;211988;141172;35894;389054;54.49;36.29;9.23;;
SC_A_18H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;A;18;R2;1;410129;175461;90465;676055;60.67;25.95;13.38;;
SC_A_18H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;A;18;R2;2;246226;103017;51879;401122;61.38;25.68;12.93;;
SC_A_18H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;A;18;R3;1;257481;72919;22527;352927;72.96;20.66;6.38;;
SC_A_18H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;A;18;R3;2;239024;42245;9197;290466;82.29;14.54;3.17;;
SC_A_18H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;A;18;R4;1;207253;98884;46869;353006;58.71;28.01;13.28;;
SC_A_18H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;A;18;R4;2;200264;135728;45796;381788;52.45;35.55;12;;
SC_A_3H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;A;3H;R1;1;499240;148628;15681;663549;75.24;22.4;2.36;;
SC_A_3H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;A;3H;R1;2;701441;124112;27225;852778;82.25;14.55;3.19;;
SC_A_3H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;A;3H;R2;1;513368;148993;23295;685656;74.87;21.73;3.4;;
SC_A_3H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;A;3H;R2;2;459555;158383;44691;662629;69.35;23.9;6.74;;
SC_A_3H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;A;3H;R3;1;573518;140578;28619;742715;77.22;18.93;3.85;;
SC_A_3H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;A;3H;R3;2;433616;113870;26695;574181;75.52;19.83;4.65;;
SC_A_3H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;A;3H;R4;1;457063;162881;47692;667636;68.46;24.4;7.14;;
SC_A_3H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;A;3H;R4;2;386382;80113;10172;476667;81.06;16.81;2.13;;
SC_V_18H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;V;18;R1;1;372635;122327;44459;539421;69.08;22.68;8.24;;
SC_V_18H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;V;18;R1;2;504516;110373;43476;658365;76.63;16.76;6.6;;
SC_V_18H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;V;18;R2;1;221456;108612;50230;380298;58.23;28.56;13.21;;
SC_V_18H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;V;18;R2;2;378401;137516;70931;586848;64.48;23.43;12.09;;
SC_V_18H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;V;18;R3;1;556156;196176;88771;841103;66.12;23.32;10.55;;
SC_V_18H_T10-3_R_0006.JPG;Palo alto;SC;T5;6;V;18;R3;2;447750;118047;37833;603630;74.18;19.56;6.27;;
SC_V_18H_T10-3_R_0007.JPG;Palo alto;SC;T5;7;V;18;R4;1;414377;117407;41696;573480;72.26;20.47;7.27;;
SC_V_18H_T10-3_R_0008.JPG;Palo alto;SC;T5;8;V;18;R4;2;433477;131040;32607;597124;72.59;21.95;5.46;;
SC_V_3H_T10-3_R_0001.JPG;Palo alto;SC;T5;1;V;3H;R1;1;421817;73354;12203;507374;83.14;14.46;2.41;;
SC_V_3H_T10-3_R_0002.JPG;Palo alto;SC;T5;2;V;3H;R1;2;453121;119263;26350;598734;75.68;19.92;4.4;;
SC_V_3H_T10-3_R_0003.JPG;Palo alto;SC;T5;3;V;3H;R2;1;552839;137824;24692;715355;77.28;19.27;3.45;;
SC_V_3H_T10-3_R_0004.JPG;Palo alto;SC;T5;4;V;3H;R2;2;623713;116616;11838;752167;82.92;15.5;1.57;;
SC_V_3H_T10-3_R_0005.JPG;Palo alto;SC;T5;5;V;3H;R3;1;306426;41519;6841;354786;86.37;11.7;1.93;;
